MARCA,MODEL,VALOARE_DAUNA,PRET_MANOPERA,PROCENT_MANOPERA
BMW,325,267.49,124.12,46.40173464428577
FORD,FOCUS,389.03,242.98,62.457908130478366
FORD,FOCUS,284.57,165.63,58.203605439786344
FORD,ESCAPE,496.08,270.33,54.49322689888727
AUDI,A8,439.06,346.24,78.85938140573042
AUDI,A8,394.22,289.58,73.45644563949062
FORD,ESCAPE,335.18,27.01,8.058356703860612
FORD,MUSTANG,511.92,265.27,51.81864353805281
FORD,MUSTANG,325.21,220.25,67.72546969650381
BMW,325,361.01,203.55,56.38347968200327
BMW,325,373.73,187.83,50.25820779707275
AUDI,A8,319.11,151.9,47.601140672495376
AUDI,A8,455.71,219.88,48.249983542164976
AUDI,A8,283.07,157.66,55.69647083760201
AUDI,A8,290.36,131.53,45.298939247830276
BMW,325,561.02,321.08,57.23147124879683
BMW,325,379.57,249.56,65.74808335748347
FORD,ESCAPE,560.17,321.7,57.428994769445
FORD,TAURUS,411.61,275.98,67.04890551735868
FORD,TAURUS,500.19,304.65,60.90685539494991
FORD,WINDSTAR,314.2,159.88,50.884786760025456
AUDI,A4,281.47,190.39,67.64131168508189
AUDI,A4,582.47,349.45,59.994506154823426
AUDI,A8,403.25,249.28,61.81773093614383
AUDI,A6,333.92,139.62,41.81241015812171
AUDI,A8,272.27,133.59,49.06526609615456
AUDI,A8,294.41,193.9,65.86053462857919
FORD,WINDSTAR,528.54,284.82,53.88806902032013
FORD,WINDSTAR,551.57,340.92,61.80901789437424
BMW,325,476.02,306.57,64.40275618671485
FORD,EXPLORER,542.69,313.86,57.834122611435625
BMW,325,484.26,257.5,53.173914839136
FORD,FOCUS,313.8,198.72,63.32695984703632
FORD,FOCUS,385.01,169.69,44.07417989143139
FORD,FOCUS,387.11,193.38,49.954793211231944
FORD,FOCUS,331.23,176.25,53.210759894937055
AUDI,A6,450.43,343.71,76.3070843416291
AUDI,A4,566.43,334.18,58.99758134279611
AUDI,A6,420.26,327.18,77.85180602484176
AUDI,A6,446.94,268.11,59.98791784132098
AUDI,A8,324.29,215.07,66.32026889512473
AUDI,A8,457.86,310.07,67.7215742803477
BMW,325,393.95,295.85,75.09836273638787
AUDI,A4,479.26,333.54,69.59479197095523
AUDI,A6,511.71,348.18,68.04244591663247
FORD,TAURUS,454.53,282.66,62.18731436868854
FORD,TAURUS,414.55,174.96,42.20480038596068
BMW,325,354.08,240.81,68.01005422503388
AUDI,A4,377.7,167.01,44.2176330420969
AUDI,A4,214.05,123.93,57.897687456201815
AUDI,A8,440.94,250.08,56.71519934684991
AUDI,A8,293.12,195.84,66.8122270742358
FORD,WINDSTAR,284.43,191.32,67.26435326793938
FORD,WINDSTAR,363.68,125.67,34.55510338759349
FORD,MUSTANG,423.57,324.2,76.53988714970372
FORD,FOCUS,460.92,275.29,59.72619977436432
FORD,FOCUS,440.13,310.65,70.58141912616726
AUDI,A8,556.64,308.22,55.37151480310435
AUDI,A8,537.08,325.12,60.534743427422356
FORD,ESCAPE,429.42,192.27,44.77434679334917
FORD,ESCAPE,237.69,141.89,59.69540157347806
BMW,325,428.09,200.34,46.798570394076016
FORD,EXPLORER,323.29,186.02,57.539670265087075
FORD,EXPLORER,550.92,331.02,60.0849488128948
FORD,EXPLORER,429.28,318.89,74.28484904957138
AUDI,A8,392.67,162.01,41.25856317009193
FORD,EXPLORER,344.61,125.02,36.27869185456022
BMW,325,479.7,256.1,53.387533875338754
FORD,EXPLORER,337.05,139.52,41.39445186174158
FORD,EXPLORER,369.99,139.54,37.71453282521149
FORD,ESCAPE,429.3,324.43,75.57186116934544
AUDI,A8,371.92,231.74,62.309098730909874
FORD,FOCUS,365.43,164.44,44.999042224228994
FORD,EXPLORER,534.81,228.32,42.69179708681588
FORD,MUSTANG,494.4,336.36,68.03398058252428
FORD,EXPLORER,311.6,166.21,53.3408215661104
FORD,EXPLORER,367.38,157.18,42.784038325439596
FORD,MUSTANG,480.82,264.05,54.91660080695478
BMW,X3,416.23,88.39,21.235855176224682
FORD,MUSTANG GT,452.01,124.17,27.47063118072609
FORD,RANGER,284.42,89.37,31.421840939455738
FORD,F-150,545.66,217.82,39.918630649122164
FORD,EXPLORER SPORT TRAC,448.53,166.88,37.20598399215214
FORD,F150,361.63,53.46,14.783065564250755
FORD,FOCUS,546.88,238.71,43.649429490930366
AUDI,A4,380.53,72.36,19.015583528236935
BMW,325I,445.03,117.19,26.333056198458532
FORD,EXPEDITION,498.65,10.63,2.1317557404993486
FORD,WINDSTAR,571.64,126.29,22.092575746973623
FORD,FOCUS,526.86,81.51,15.470903086208859
FORD,F150,660.03,101.26,15.341726891201917
